arrivaldatetime,duetime,departuredatetime,departureduetime,scheduledarrivaldatetime,scheduleddeparturedatetime,destination,destinationlocalized,origin,originlocalized,direction,operator,operatortype,additionalinformation,lowfloorstatus,route,sourcetimestamp,monitored,stopid
18/02/2020 21:40:30,16,18/02/2020 21:40:30,16,18/02/2020 21:40:00,18/02/2020 21:40:00,LUAS Broombridge,LUAS Broombridge,LUAS Sandyford,LUAS Áth an Ghainimh ,Inbound,LUAS,3,,no,Green,18/02/2020 21:21:43,true,luas68
18/02/2020 21:25:34,1,18/02/2020 21:25:34,1,18/02/2020 21:21:00,18/02/2020 21:21:00,LUAS Bride's Glen,LUAS Gleann Bhríde,LUAS Broombridge,LUAS Broombridge,Outbound,LUAS,3,,no,Green,18/02/2020 21:21:43,true,luas69
18/02/2020 21:28:29,4,18/02/2020 21:28:29,4,18/02/2020 21:29:00,18/02/2020 21:29:00,LUAS Broombridge,LUAS Broombridge,LUAS Sandyford,LUAS Áth an Ghainimh ,Inbound,LUAS,3,,no,Green,18/02/2020 21:21:43,true,luas69
18/02/2020 21:36:09,12,18/02/2020 21:36:09,12,18/02/2020 21:36:00,18/02/2020 21:36:00,LUAS Bride's Glen,LUAS Gleann Bhríde,LUAS Broombridge,LUAS Broombridge,Outbound,LUAS,3,,no,Green,18/02/2020 21:18:25,true,luas69
18/02/2020 21:41:28,17,18/02/2020 21:41:28,17,18/02/2020 21:41:00,18/02/2020 21:41:00,LUAS Broombridge,LUAS Broombridge,LUAS Sandyford,LUAS Áth an Ghainimh ,Inbound,LUAS,3,,no,Green,18/02/2020 21:23:22,true,luas69
18/02/2020 21:24:44,Due,18/02/2020 21:24:44,Due,18/02/2020 21:25:00,18/02/2020 21:25:00,LUAS Tallaght,LUAS Tamhlacht,LUAS The Point,LUAS Iosta na Rinne,Outbound,LUAS,3,,no,Red,18/02/2020 21:06:50,true,luas7
18/02/2020 21:31:18,7,18/02/2020 21:31:18,7,18/02/2020 21:31:00,18/02/2020 21:31:00,LUAS The Point,LUAS Iosta na Rinne,LUAS Tallaght,LUAS Tamhlacht,Inbound,LUAS,3,,no,Red,18/02/2020 21:20:02,true,luas7
18/02/2020 21:35:32,11,18/02/2020 21:35:32,11,18/02/2020 21:35:00,18/02/2020 21:35:00,LUAS Tallaght,LUAS Tamhlacht,LUAS The Point,LUAS Iosta na Rinne,Outbound,LUAS,3,,no,Red,18/02/2020 21:23:20,true,luas7
18/02/2020 21:24:15,Due,18/02/2020 21:24:15,Due,18/02/2020 21:20:00,18/02/2020 21:20:00,LUAS Bride's Glen,LUAS Gleann Bhríde,LUAS Broombridge,LUAS Broombridge,Outbound,LUAS,3,,no,Green,18/02/2020 21:21:43,true,luas70
18/02/2020 21:29:37,5,18/02/2020 21:29:37,5,18/02/2020 21:30:00,18/02/2020 21:30:00,LUAS Broombridge,LUAS Broombridge,LUAS Sandyford,LUAS Áth an Ghainimh ,Inbound,LUAS,3,,no,Green,18/02/2020 21:21:43,true,luas70
18/02/2020 21:34:51,10,18/02/2020 21:34:51,10,18/02/2020 21:35:00,18/02/2020 21:35:00,LUAS Bride's Glen,LUAS Gleann Bhríde,LUAS Broombridge,LUAS Broombridge,Outbound,LUAS,3,,no,Green,18/02/2020 21:16:46,true,luas70
18/02/2020 21:42:36,18,18/02/2020 21:42:36,18,18/02/2020 21:43:00,18/02/2020 21:43:00,LUAS Broombridge,LUAS Broombridge,LUAS Sandyford,LUAS Áth an Ghainimh ,Inbound,LUAS,3,,no,Green,18/02/2020 21:23:22,true,luas70
18/02/2020 21:31:20,7,18/02/2020 21:31:20,7,18/02/2020 21:31:00,18/02/2020 21:31:00,LUAS Bride's Glen,LUAS Gleann Bhríde,LUAS Broombridge,LUAS Broombridge,Outbound,LUAS,3,,no,Green,18/02/2020 21:13:27,true,luas71
18/02/2020 21:32:49,8,18/02/2020 21:32:49,8,18/02/2020 21:33:00,18/02/2020 21:33:00,LUAS The Point,LUAS Iosta na Rinne,LUAS Tallaght,LUAS Tamhlacht,Inbound,LUAS,3,,no,Red,18/02/2020 21:20:02,true,luas8
18/02/2020 21:33:31,9,18/02/2020 21:33:31,9,18/02/2020 21:34:00,18/02/2020 21:34:00,LUAS Tallaght,LUAS Tamhlacht,LUAS The Point,LUAS Iosta na Rinne,Outbound,LUAS,3,,no,Red,18/02/2020 21:15:05,true,luas8
18/02/2020 21:31:33,7,18/02/2020 21:31:33,7,18/02/2020 21:30:00,18/02/2020 21:30:00,LUAS Tallaght,LUAS Tamhlacht,LUAS The Point,LUAS Iosta na Rinne,Outbound,LUAS,3,,no,Red,18/02/2020 21:21:42,true,luas9
18/02/2020 21:34:58,10,18/02/2020 21:34:58,10,18/02/2020 21:36:00,18/02/2020 21:36:00,LUAS The Point,LUAS Iosta na Rinne,LUAS Tallaght,LUAS Tamhlacht,Inbound,LUAS,3,,no,Red,18/02/2020 21:20:02,true,luas9
18/02/2020 21:41:51,17,18/02/2020 21:41:51,17,18/02/2020 21:42:00,18/02/2020 21:42:00,LUAS Tallaght,LUAS Tamhlacht,LUAS The Point,LUAS Iosta na Rinne,Outbound,LUAS,3,,no,Red,18/02/2020 21:23:20,true,luas9
