arrivaldatetime,duetime,departuredatetime,departureduetime,scheduledarrivaldatetime,scheduleddeparturedatetime,destination,destinationlocalized,origin,originlocalized,direction,operator,operatortype,additionalinformation,lowfloorstatus,route,sourcetimestamp,monitored,stopid
18/02/2020 20:05:33,9,18/02/2020 20:05:33,9,18/02/2020 20:01:00,18/02/2020 20:01:00,Dublin Airport,Aerfort,Brehon Field Rd,Brehon Field Rd,Inbound,bac,1,,no,16,18/02/2020 19:52:26,true,8
18/02/2020 20:13:41,17,18/02/2020 20:13:41,17,18/02/2020 20:16:00,18/02/2020 20:16:00,Dublin Airport,Aerfort,Brehon Field Rd,Brehon Field Rd,Inbound,bac,1,,no,16,18/02/2020 19:55:45,true,8
18/02/2020 20:31:10,34,18/02/2020 20:31:10,34,18/02/2020 20:31:00,18/02/2020 20:31:00,Dublin Airport,Aerfort,Brehon Field Rd,Brehon Field Rd,Inbound,bac,1,,no,16,18/02/2020 19:32:39,true,8
18/02/2020 20:46:10,49,18/02/2020 20:46:10,49,18/02/2020 20:46:00,18/02/2020 20:46:00,Dublin Airport,Aerfort,Brehon Field Rd,Brehon Field Rd,Inbound,bac,1,,no,16,18/02/2020 19:47:29,true,8
,,,,,,,,,,,,,,,,,,
18/02/2020 19:57:03,Due,18/02/2020 19:57:03,Due,18/02/2020 19:48:00,18/02/2020 19:48:00,Shanard Road, ,Park Avenue,Park Avenue,Inbound,bac,1,,no,1,18/02/2020 19:55:48,true,10
18/02/2020 19:57:11,Due,18/02/2020 19:57:11,Due,18/02/2020 19:42:00,18/02/2020 19:42:00,DCU,DCU,Enniskerry Village,Enniskerry Village,Inbound,bac,1,,no,44,18/02/2020 19:54:10,true,10
18/02/2020 20:07:36,11,18/02/2020 20:07:36,11,18/02/2020 20:08:00,18/02/2020 20:08:00,Shanard Road, ,Park Avenue,Park Avenue,Inbound,bac,1,,no,1,18/02/2020 19:07:57,true,10
18/02/2020 20:18:08,21,18/02/2020 20:18:08,21,18/02/2020 20:16:00,18/02/2020 20:16:00,St Pappin's Rd,St Pappin's Rd,Blackthorn Road,Blackthorn Road,Inbound,bac,1,,no,11,18/02/2020 19:47:34,true,10
18/02/2020 20:27:36,31,18/02/2020 20:27:36,31,18/02/2020 20:28:00,18/02/2020 20:28:00,Shanard Road, ,Park Avenue,Park Avenue,Inbound,bac,1,,no,1,18/02/2020 19:27:45,true,10
